Div,Date,Time,HomeTeam,AwayTeam,FTHomeGoals,FTAwayGoals,FTResult,HomeShots,AwayShots,HomeYellow,AwayYellow,HomeRed,AwayRed
SP1,26/02/2024,20:00,Girona,Vallecano,3,0,H,14,7,3,5,0,1
SP1,1/3/2024,20:00,Celta,Almeria,1,0,H,15,3,1,2,0,1
SP1,2/3/2024,13:00,Sevilla,Sociedad,3,2,H,12,13,1,2,0,0
SP1,2/3/2024,15:15,Vallecano,Cadiz,1,1,D,9,16,1,1,0,0
SP1,2/3/2024,17:30,Getafe,Las Palmas,3,3,D,16,14,4,1,0,0
SP1,2/3/2024,20:00,Valencia,Real Madrid,2,2,D,12,10,2,3,0,1
SP1,3/3/2024,13:00,Villarreal,Granada,5,1,H,16,9,1,2,0,0
SP1,3/3/2024,15:15,Ath Madrid,Betis,2,1,H,17,12,1,2,0,0
SP1,3/3/2024,17:30,Mallorca,Girona,1,0,H,16,15,5,0,0,0
SP1,3/3/2024,20:00,Ath Bilbao,Barcelona,0,0,D,8,8,3,3,0,0
SP1,4/3/2024,20:00,Osasuna,Alaves,1,0,H,15,10,2,1,0,0
SP1,8/3/2024,20:00,Barcelona,Mallorca,1,0,H,20,9,1,1,0,0
SP1,9/3/2024,13:00,Valencia,Getafe,1,0,H,10,15,2,3,0,0
SP1,9/3/2024,15:15,Cadiz,Ath Madrid,2,0,H,7,8,4,5,0,0
SP1,9/3/2024,17:30,Granada,Sociedad,2,3,A,13,11,1,2,0,0
SP1,9/3/2024,20:00,Girona,Osasuna,2,0,H,11,7,3,3,0,0
SP1,10/3/2024,13:00,Alaves,Vallecano,1,0,H,12,9,2,2,0,0
SP1,10/3/2024,15:15,Las Palmas,Ath Bilbao,0,2,A,14,7,3,3,0,0
SP1,10/3/2024,17:30,Real Madrid,Celta,4,0,H,24,11,2,3,0,0
SP1,10/3/2024,20:00,Betis,Villarreal,2,3,A,13,6,3,4,1,1
SP1,11/3/2024,20:00,Almeria,Sevilla,2,2,D,14,19,2,2,0,0
SP1,15/03/2024,20:00,Sociedad,Cadiz,2,0,H,14,13,3,1,0,0
SP1,16/03/2024,13:00,Mallorca,Granada,1,0,H,18,8,2,0,0,0
SP1,16/03/2024,15:15,Osasuna,Real Madrid,2,4,A,9,17,3,2,0,0
SP1,16/03/2024,17:30,Getafe,Girona,1,0,H,11,13,4,4,0,0
SP1,16/03/2024,20:00,Ath Bilbao,Alaves,2,0,H,16,7,1,3,0,0
SP1,17/03/2024,13:00,Sevilla,Celta,1,2,A,11,18,4,0,0,0
SP1,17/03/2024,15:15,Las Palmas,Almeria,0,1,A,21,3,2,2,0,0
SP1,17/03/2024,15:15,Villarreal,Valencia,1,0,H,13,14,5,1,0,0
SP1,17/03/2024,17:30,Vallecano,Betis,2,0,H,8,11,4,4,0,0
SP1,17/03/2024,20:00,Ath Madrid,Barcelona,0,3,A,12,9,3,1,1,0
SP1,29/03/2024,20:00,Cadiz,Granada,1,0,H,13,10,2,4,0,0
SP1,30/03/2024,13:00,Getafe,Sevilla,0,1,A,18,10,4,5,0,0
SP1,30/03/2024,15:15,Almeria,Osasuna,0,3,A,12,6,3,2,0,0
SP1,30/03/2024,17:30,Valencia,Mallorca,0,0,D,14,11,0,2,0,0
SP1,30/03/2024,20:00,Barcelona,Las Palmas,1,0,H,14,8,5,1,0,1
SP1,31/03/2024,13:00,Celta,Vallecano,0,0,D,13,8,3,3,0,0
SP1,31/03/2024,15:15,Girona,Betis,3,2,H,9,7,3,4,0,0
SP1,31/03/2024,17:30,Alaves,Sociedad,0,1,A,3,12,2,2,0,0
SP1,31/03/2024,20:00,Real Madrid,Ath Bilbao,2,0,H,9,7,2,1,0,0
SP1,1/4/2024,20:00,Villarreal,Ath Madrid,1,2,A,11,14,3,3,0,0
SP1,4/4/2024,19:00,Granada,Valencia,0,1,A,13,6,3,1,0,0
SP1,12/4/2024,20:00,Betis,Celta,2,1,H,15,12,1,0,0,0
SP1,13/04/2024,13:00,Ath Madrid,Girona,3,1,H,17,12,3,2,0,0
SP1,13/04/2024,15:15,Vallecano,Getafe,0,0,D,11,7,4,6,0,0
SP1,13/04/2024,17:30,Mallorca,Real Madrid,0,1,A,6,16,2,1,0,0
SP1,13/04/2024,20:00,Cadiz,Barcelona,0,1,A,14,12,3,3,0,0
